item_id,claim_id
SA-000143,173613
SA-000144,26886
SA-000145,220949
SA-000146,29594
SA-000147,178225
SA-000148,101528
SA-000149,53266
SA-000150,121427
SA-000151,186323
SA-000152,101618
SA-000153,193911
SA-000154,14855
SA-000155,68701
SA-000156,6572
SA-000157,70574
SA-000158,143144
SA-000159,128454
SA-000160,191892
SA-000161,104205
SA-000162,149973
SA-000163,89663
SA-000164,109785
SA-000165,89483
SA-000166,194754
SA-000167,226153
SA-000168,199276
SA-000169,161571
SA-000170,23210
SA-000171,226143
SA-000172,189714
SA-000173,161580
SA-000174,35575
SA-000175,58823
SA-000176,17124
SA-000177,33840
SA-000178,106030
SA-000179,28656
SA-000180,134997
SA-000181,92419
SA-000182,60431
SA-000183,142294
SA-000184,189876
SA-000185,70645
SA-000186,8864
SA-000187,139910
SA-000188,172753
SA-000189,9410
SA-000190,35406
SA-000191,28447
SA-000192,71269
SA-000193,185206
SA-000194,152637
SA-000195,105216
SA-000196,8870
SA-000197,92769
SA-000198,109898
SA-000199,73443
SA-000200,221086
SA-000201,6833
SA-000202,54742
SA-000203,130248
SA-000204,12820
SA-000205,64769
SA-000206,133843
SA-000207,221131
SA-000208,11290
SA-000209,151576
SA-000210,18355
SA-000211,172713
SA-000212,194344
SA-000213,226100
SA-000214,37929
SA-000215,87760
SA-000216,227093
SA-000217,205129
SA-000218,88110
SA-000219,86279
SA-000220,165653
SA-000221,119878
SA-000222,200296
SA-000223,166919
SA-000224,369
SA-000225,76562
SA-000226,187775
SA-000227,7762
SA-000228,224378
SA-000229,107667
SA-000230,103003
SA-000231,113686
SA-000232,212333
SA-000233,104178
SA-000234,1667
SA-000235,219149
SA-000236,32891
SA-000237,4100
SA-000238,79420
SA-000239,120190
SA-000240,162662
SA-000241,211027
SA-000242,38082
SA-000243,128115
SA-000244,218237
SA-000245,144418
SA-000246,10103
SA-000247,175725
SA-000248,198545
SA-000249,118806
SA-000250,130833
SA-000251,169918
SA-000252,83043
SA-000253,19494
SA-000254,65864
SA-000255,144302
SA-000256,21899
SA-000257,180573
SA-000258,208422
SA-000259,217684
SA-000260,194020
SA-000261,76166
SA-000262,99511
SA-000263,145572
SA-000264,191433
SA-000265,136290
SA-000266,180574
SA-000267,71706
SA-000268,118593
SA-000269,145797
SA-000270,101583
SA-000271,66557
SA-000272,101506
SA-000273,129066
SA-000274,195020
SA-000275,91508
SA-000276,39018
SA-000277,127128
SA-000278,21959
SA-000279,10692
SA-000280,130963
SA-000281,91889
SA-000282,9235
SA-000283,3063
SA-000284,41091
SA-000285,121157
SA-000286,168999
SA-000287,73261
SA-000288,212321
SA-000289,1544
SA-000290,192961
SA-000291,8219
SA-000292,153539
SA-000293,216392
SA-000294,37097
SA-000295,194359
SA-000296,175441
SA-000297,120836
SA-000298,81046
SA-000299,76867
SA-000300,86897
SA-000301,117447
SA-000302,126958
SA-000303,134387
SA-000304,83654
SA-000305,17847
SA-000306,199420
SA-000307,86242
SA-000308,206454
SA-000309,109563
SA-000310,137429
SA-000311,181274
SA-000312,21716
SA-000313,89219
SA-000314,183929
SA-000315,199418
SA-000316,61807
SA-000317,160508
SA-000318,130325
SA-000319,68893
SA-000320,15155
SA-000321,71082
SA-000322,210206
SA-000323,56960
SA-000324,78725
SA-000325,43041
SA-000326,220439
SA-000327,120781
SA-000328,172762
SA-000329,10689
SA-000330,130631
SA-000331,127682
SA-000332,148263
SA-000333,48725
SA-000334,207010
SA-000335,79072
SA-000336,148180
SA-000337,13929
SA-000338,19655
SA-000339,209849
SA-000340,142863
SA-000341,113488
SA-000342,127225
SA-000343,85338
SA-000344,93689
SA-000345,171629
SA-000346,21033
SA-000347,78355
SA-000348,61922
SA-000349,18030
SA-000350,144391
SA-000351,6275
SA-000352,39615
SA-000353,157002
SA-000354,162885
SA-000355,40450
SA-000356,3087
SA-000357,12089
SA-000358,87838
SA-000359,158654
SA-000360,199815
SA-000361,132554
SA-000362,115173
SA-000363,59355
SA-000364,155995
SA-000365,68137
SA-000366,4537
SA-000367,178230
SA-000368,190089
SA-000369,28188
SA-000370,46627
SA-000371,73444
SA-000372,109142
SA-000373,119288
SA-000374,211271
SA-000375,31868
SA-000376,42643
SA-000377,125164
SA-000378,169000
SA-000379,227791
SA-000380,76126
SA-000381,203998
SA-000382,67568
SA-000383,56475
SA-000384,130220
SA-000385,198900
SA-000386,199746
SA-000387,185412
SA-000388,182908
SA-000389,51596
SA-000390,179817
SA-000391,203695
SA-000392,93493
SA-000393,202308
SA-000394,166940
SA-000395,112242
SA-000396,39716
SA-000397,227098
SA-000398,172751
SA-000399,100802
SA-000400,158036
SA-000401,182032
SA-000402,4134
SA-000403,63836
SA-000404,179025
SA-000405,41634
SA-000406,174986
SA-000407,122457
SA-000408,18065
SA-000409,80074
SA-000410,18835
SA-000411,146157
SA-000412,56342
SA-000413,120242
SA-000414,224191
SA-000415,201098
SA-000416,16588
SA-000417,158904
SA-000418,48227
SA-000419,170947
SA-000420,74588
SA-000421,36882
SA-000422,14596
SA-000423,106211
SA-000424,129767
SA-000425,142620
SA-000426,2797
SA-000427,113297
SA-000428,140776
SA-000429,120873
SA-000430,116723
SA-000431,174013
SA-000432,142236
SA-000433,107384
SA-000434,12852
SA-000435,119205
SA-000436,89727
SA-000437,192197
SA-000438,128709
SA-000439,100821
SA-000440,83454
SA-000441,45963
SA-000442,85454
SA-000443,201079
SA-000444,9913
SA-000445,89661
SA-000446,126775
SA-000447,193866
SA-000448,142638
SA-000449,31026
SA-000450,166376
SA-000451,76213
SA-000452,115183
SA-000453,26078
SA-000454,39873
SA-000455,99838
SA-000456,160887
SA-000457,58707
SA-000458,150693
SA-000459,227779
SA-000460,118940
SA-000461,117003
SA-000462,48880
SA-000463,171614
SA-000464,164999
SA-000465,188994
SA-000466,105257
SA-000467,124022
SA-000468,49926
SA-000469,40748
SA-000470,173919
SA-000471,108567
SA-000472,55335
SA-000473,107335
SA-000474,212317
SA-000475,65033
SA-000476,169984
SA-000477,152176
SA-000478,218238
SA-000479,108736
SA-000480,113349
SA-000481,111938
SA-000482,88385
SA-000483,9680
SA-000484,53852
SA-000485,88008
SA-000486,103833
SA-000487,223350
SA-000488,102352
SA-000489,162044
SA-000490,204415
SA-000491,88112
SA-000492,93823
SA-000493,101619
SA-000494,117369
SA-000495,27589
SA-000496,174604
SA-000497,71911
SA-000498,21495
SA-000499,22726
SA-000500,38141
SA-000501,227072
SA-000502,192975
SA-000503,110839
SA-000504,98916
SA-000505,83
SA-000506,62453
SA-000507,179046
SA-000508,147781
SA-000509,127244
SA-000510,223499
SA-000511,99911
SA-000512,75013
SA-000513,91340
SA-000514,198888
SA-000515,63116
SA-000516,71836
SA-000517,146485
SA-000518,7278
SA-000519,67818
SA-000520,201112
SA-000521,171521
SA-000522,5972
SA-000523,21187
SA-000524,75594
SA-000525,94829
SA-000526,223352
SA-000527,133407
SA-000528,27073
SA-000529,18159
SA-000530,45465
SA-000531,197384
SA-000532,172701
SA-000533,157597
SA-000534,93412
SA-000535,151450
SA-000536,119918
SA-000537,71246
SA-000538,195914
SA-000539,224141
SA-000540,145491
SA-000541,225863
SA-000542,42594
SA-000543,62907
SA-000544,208906
SA-000545,117374
SA-000546,181125
SA-000547,199817
SA-000548,85093
SA-000549,182917
SA-000550,203160
SA-000551,200289
SA-000552,23729
SA-000553,33547
SA-000554,76138
SA-000555,194795
SA-000556,58896
SA-000557,229309
SA-000558,216365
SA-000559,108917
SA-000560,25740
SA-000561,26132
SA-000562,103947
SA-000563,179332
SA-000564,24273
SA-000565,8067
SA-000566,89682
SA-000567,142728
SA-000568,50382
SA-000569,194753
SA-000570,159692
SA-000571,56284
SA-000572,3783
SA-000573,161903
SA-000574,65511
SA-000575,104555
SA-000576,63252
SA-000577,139059
SA-000578,130637
SA-000579,53214
SA-000580,155610
SA-000581,205134
SA-000582,131060
SA-000583,26317
SA-000584,130920
SA-000585,161094
SA-000586,50537
SA-000587,156601
SA-000588,103914
SA-000589,145516
SA-000590,64572
SA-000591,40052
SA-000592,139661
SA-000593,35030
SA-000594,67630
SA-000595,25505
SA-000596,91798
SA-000597,169316
SA-000598,42174
SA-000599,90158
SA-000600,21274
SA-000601,171500
SA-000602,121242
SA-000603,34684
SA-000604,128278
SA-000605,118195
SA-000606,147344
SA-000607,15508
SA-000608,132858
SA-000609,37773
SA-000610,67721
SA-000611,201060
SA-000612,64685
SA-000613,74583
SA-000614,99441
SA-000615,3718
SA-000616,194761
SA-000617,45637
SA-000618,167181
SA-000619,128539
SA-000620,115659
SA-000621,2147
SA-000622,74555
SA-000623,180726
SA-000624,207008
SA-000625,127957
SA-000626,97576
SA-000627,92824
SA-000628,222730
SA-000629,18614
SA-000630,185772
SA-000631,50486
SA-000632,7358
SA-000633,73412
SA-000634,108734
SA-000635,111302
SA-000636,26687
SA-000637,119298
SA-000638,110147
SA-000639,204351
SA-000640,78448
SA-000641,70784
SA-000642,34791
SA-000643,140442
SA-000644,10635
SA-000645,205094
SA-000646,104930
SA-000647,55888
SA-000648,149457
SA-000649,172468
SA-000650,159706
SA-000651,150396
SA-000652,82973
SA-000653,199662
SA-000654,29324
SA-000655,195028
SA-000656,108434
SA-000657,53468
SA-000658,221237
SA-000659,96740
SA-000660,8577
SA-000661,122692
SA-000662,145784
SA-000663,102303
SA-000664,181118
SA-000665,136725
SA-000666,8505
SA-000667,124819
SA-000668,161709
SA-000669,143283
SA-000670,215487
SA-000671,82129
SA-000672,75850
SA-000673,162837
SA-000674,66175
SA-000675,212324
SA-000676,126963
SA-000677,60978
SA-000678,43811
SA-000679,91498
SA-000680,26819
SA-000681,5766
SA-000682,83803
SA-000683,85196
SA-000684,200371
SA-000685,50074
SA-000686,168932
SA-000687,159321
SA-000688,170949
SA-000689,68983
SA-000690,114640
SA-000691,93739
SA-000692,117409
SA-000693,154761
SA-000694,93184
SA-000695,45699
SA-000696,21032
SA-000697,192843
SA-000698,203622
SA-000699,24271
SA-000700,95358
SA-000701,223272
SA-000702,107308
SA-000703,159689
SA-000704,108753
SA-000705,107856
SA-000706,165865
SA-000707,97534
SA-000708,160481
SA-000709,222661
SA-000710,106369
SA-000711,50258
SA-000712,173507
SA-000713,128843
SA-000714,102003
SA-000715,140589
SA-000716,23961
SA-000717,140462
SA-000718,86024
SA-000719,142286
SA-000720,189776
SA-000721,92586
SA-000722,74479
SA-000723,54383
SA-000724,165127
SA-000725,92344
SA-000726,194342
SA-000727,66540
SA-000728,167970
SA-000729,80417
SA-000730,42173
SA-000731,163959
SA-000732,164057
SA-000733,224136
SA-000734,222765
SA-000735,73752
SA-000736,28912
SA-000737,81761
SA-000738,51757
SA-000739,141282
SA-000740,18397
SA-000741,10328
SA-000742,147056
SA-000743,27503
SA-000744,44732
SA-000745,115128
SA-000746,206038
SA-000747,162041
SA-000748,68022
SA-000749,182269
SA-000750,193883
SA-000751,194183
SA-000752,204572
SA-000753,16250
SA-000754,174033
SA-000755,79610
SA-000756,153136
SA-000757,155647
SA-000758,98866
SA-000759,18142
SA-000760,209859
SA-000761,127402
SA-000762,35381
SA-000763,160764
SA-000764,141838
SA-000765,13076
SA-000766,37801
SA-000767,166921
SA-000768,209099
SA-000769,187375
SA-000770,145470
SA-000771,166646
SA-000772,140233
SA-000773,158903
SA-000774,185220
SA-000775,175464
SA-000776,201801
SA-000777,187571
SA-000778,10671
SA-000779,105788
SA-000780,62831
SA-000781,106115
SA-000782,15197
SA-000783,86783
SA-000784,87894
SA-000785,58608
SA-000786,147045
SA-000787,180578
SA-000788,59641
SA-000789,204309
SA-000790,51355
SA-000791,207543
SA-000792,7744
SA-000793,20708
SA-000794,16474
SA-000795,5037
SA-000796,137725
SA-000797,25408
SA-000798,192035
SA-000799,149787
SA-000800,38124
SA-000801,46188
SA-000802,206465
SA-000803,5093
SA-000804,153831
SA-000805,171603
SA-000806,187795
SA-000807,88690
SA-000808,126915
SA-000809,47230
SA-000810,102417
SA-000811,92687
SA-000812,55815
SA-000813,145866
SA-000814,223343
SA-000815,106627
SA-000816,180734
SA-000817,199812
SA-000818,39174
SA-000819,2466
SA-000820,215137
SA-000821,152918
SA-000822,105651
SA-000823,162200
SA-000824,48484
SA-000825,38599
SA-000826,179036
SA-000827,16809
SA-000828,225281
SA-000829,147632
SA-000830,137276
SA-000831,173492
SA-000832,96603
SA-000833,24795
SA-000834,218244
SA-000835,204654
SA-000836,167984
SA-000837,150366
SA-000838,64142
SA-000839,82883
SA-000840,212767
SA-000841,59967
SA-000842,124805
SA-000843,41780
SA-000844,205648
SA-000845,51683
SA-000846,42213
SA-000847,113953
SA-000848,123756
SA-000849,87187
SA-000850,53421
SA-000851,63201
SA-000852,139445
SA-000853,12015
SA-000854,41480
SA-000855,194764
SA-000856,75025
SA-000857,55152
SA-000858,25490
SA-000859,12467
SA-000860,35291
SA-000861,88946
SA-000862,182906
SA-000863,101552
SA-000864,61817
SA-000865,44334
SA-000866,173930
SA-000867,108880
SA-000868,102035
SA-000869,79984
SA-000870,156514
SA-000871,95991
SA-000872,1942
SA-000873,195503
SA-000874,19994
SA-000875,225313
SA-000876,22002
SA-000877,66495
SA-000878,194454
SA-000879,50357
SA-000880,183152
SA-000881,14800
SA-000882,38481
SA-000883,94931
SA-000884,20603
SA-000885,19177
SA-000886,171604
SA-000887,42943
SA-000888,145972
SA-000889,121496
SA-000890,54932
SA-000891,145723
SA-000892,130108
SA-000893,186598
SA-000894,173933
SA-000895,4041
SA-000896,92644
SA-000897,206457
SA-000898,148173
SA-000899,136928
SA-000900,211287
SA-000901,143788
SA-000902,78691
SA-000903,88941
SA-000904,194800
SA-000905,111121
SA-000906,145537
SA-000907,116269
SA-000908,39612
SA-000909,202922
SA-000910,132313
SA-000911,135740
SA-000912,25551
SA-000913,107119
SA-000914,93350
SA-000915,194184
SA-000916,182042
SA-000917,106668
SA-000918,150636
SA-000919,71124
SA-000920,147411
SA-000921,70961
SA-000922,135291
SA-000923,70602
SA-000924,196159
SA-000925,191420
SA-000926,204641
SA-000927,61401
SA-000928,109461
SA-000929,76123
SA-000930,48607
SA-000931,66842
SA-000932,136862
SA-000933,60612
SA-000934,60232
SA-000935,18031
SA-000936,154307
SA-000937,80573
SA-000938,129221
SA-000939,128336
SA-000940,152008
SA-000941,214780
SA-000942,102789
SA-000943,204300
SA-000944,217198
SA-000945,16507
SA-000946,113712
SA-000947,8576
SA-000948,27980
SA-000949,101212
SA-000950,121121
SA-000951,110294
SA-000952,162655
SA-000953,197641
SA-000954,93331
SA-000955,165267
SA-000956,106084
SA-000957,179831
SA-000958,175740
SA-000959,152752
SA-000960,184066
SA-000961,100584
SA-000962,75291
SA-000963,174990
SA-000964,150412
SA-000965,45394
SA-000966,108767
SA-000967,57138
SA-000968,83879
SA-000969,74806
SA-000970,160350
SA-000971,5826
SA-000972,63527
SA-000973,131416
SA-000974,211291
SA-000975,46271
SA-000976,191445
SA-000977,15941
SA-000978,172507
SA-000979,160899
SA-000980,60039
SA-000981,172104
SA-000982,48638
SA-000983,98893
SA-000984,33844
SA-000985,88345
SA-000986,119219
SA-000987,32233
SA-000988,81191
SA-000989,573
SA-000990,100083
SA-000991,69436
SA-000992,227116
SA-000993,123452
SA-000994,154086
SA-000995,38288
SA-000996,153303
SA-000997,119915
SA-000998,122572
SA-000999,25545
SA-001000,36171
SA-001001,102540
SA-001002,3019
SA-001003,178171
SA-001004,23943
SA-001005,147486
SA-001006,21784
SA-001007,30479
SA-001008,32672
SA-001009,193844
SA-001010,157777
SA-001011,79461
SA-001012,217168
SA-001013,97739
SA-001014,166629
SA-001015,104735
SA-001016,90151
SA-001017,205089
SA-001018,41661
SA-001019,224959
SA-001020,152955
SA-001021,122596
SA-001022,162881
SA-001023,115386
SA-001024,138161
SA-001025,193893
SA-001026,48684
SA-001027,194910
SA-001028,140359
SA-001029,43702
SA-001030,145926
SA-001031,116278
SA-001032,106191
SA-001033,105724
SA-001034,124719
SA-001035,14922
SA-001036,128258
SA-001037,91976
SA-001038,6680
SA-001039,204307
SA-001040,181881
SA-001041,14430
SA-001042,192203
SA-001043,174893
SA-001044,103005
SA-001045,204347
SA-001046,14501
SA-001047,207260
SA-001048,98655
SA-001049,157434
SA-001050,192754
SA-001051,33574
SA-001052,96466
SA-001053,29257
SA-001054,174882
SA-001055,75922
SA-001056,43475
SA-001057,153147
SA-001058,1076
SA-001059,57374
SA-001060,193910
SA-001061,19774
