claude_item_id,consensus_A,consensus_B,consensus_C,rule_A,rule_B,rule_C,ambiguous_A,ambiguous_B,ambiguous_C,resolved_by_titles,resolved_only_by_structure,still_ambiguous_after_C,reversed_after_titles,reversed_after_structure,mean_confidence_A,sd_confidence_A,mean_confidence_B,sd_confidence_B,mean_confidence_C,sd_confidence_C,claude_taxonomy,claude_broad,source_item_id,claim_id,order,cohort,regression_type,gold_label,gpt54_transition,gpt54mini_transition,grok_consensus_A,grok_consensus_B,grok_consensus_C,grok_rule_A,grok_rule_C,grok_taxonomy,grok_resolved_by_titles,grok_resolved_only_by_structure,grok_still_ambiguous_after_C,grok_reversed_after_titles,grok_reversed_after_structure,nli_disagrees,nli2_disagrees,grok_broad,grok_ambiguous_A,grok_ambiguous_B,grok_ambiguous_C
CF-000011,Supported,Supported,Ambiguous,high_consensus,high_consensus,ambiguous_weak_sufficiency,False,False,True,False,False,True,False,False,59.4,1.7435595774162693,56.4,1.3564659966250536,58.8,2.481934729198171,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000240,162662,11,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000012,Refuted,Ambiguous,Ambiguous,high_consensus,ambiguous_weak_sufficiency,ambiguous_majority,False,True,True,False,False,True,False,False,65.4,1.3564659966250536,58.4,5.499090833947008,54.0,2.756809750418044,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000072,172466,12,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000013,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,72.4,1.4966629547095764,69.6,0.8,71.2,0.9797958971132712,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000446,126775,13,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Supported,Supported,Supported,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000014,Refuted,Ambiguous,Ambiguous,high_consensus,ambiguous_majority,ambiguous_majority,False,True,True,False,False,True,False,False,59.0,2.3664319132398464,57.2,2.315167380558045,57.2,1.9390719429665315,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000203,130248,14,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000015,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,56.2,1.4696938456699067,56.2,1.4696938456699067,55.6,1.2,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000330,130631,15,regression,gpt54_only,Supported,correct_to_wrong,wrong_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000016,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,81.6,2.33238075793812,80.8,2.039607805437114,79.6,1.9595917942265424,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000770,145470,16,regression,mini_only,Refuted,wrong_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,False,evidence_utilization_failure,False,False,False
CF-000017,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,60.4,1.4966629547095764,57.0,2.449489742783178,57.8,1.5999999999999999,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000178,106030,17,regression,both,Supported,correct_to_wrong,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,False,evidence_utilization_failure,False,False,False
CF-000018,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,68.0,1.2649110640673518,66.0,2.0976176963403033,66.4,3.878143885933063,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000387,185412,18,regression,both,Refuted,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000019,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,90.0,0.0,89.6,0.8,88.2,1.8330302779823358,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000028,63846,19,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000020,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,60.0,1.7888543819998317,58.8,0.9797958971132712,58.8,0.9797958971132712,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000906,145537,20,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,True,residual_ambiguity,True,True,True
CF-000021,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,77.8,2.0396078054371136,77.6,3.4409301068170506,76.4,1.3564659966250536,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000117,77686,21,regression,both,Refuted,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000022,Supported,Ambiguous,Supported,high_consensus,ambiguous_weak_sufficiency,high_consensus,False,True,False,False,True,False,False,False,63.0,2.1908902300206643,56.2,2.4000000000000004,57.2,1.9390719429665315,silver_structured_evidence_sensitive,representation_sensitive,SA-000666,8505,22,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,False,residual_ambiguity,True,True,True
CF-000023,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,88.4,0.8,88.8,0.9797958971132712,89.2,0.9797958971132712,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000440,83454,23,regression,mini_only,Refuted,wrong_to_wrong,correct_to_wrong,Supported,Supported,Supported,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000024,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,65.0,2.6832815729997477,63.4,4.882622246293481,61.6,2.65329983228432,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000964,150412,24,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000025,Refuted,Ambiguous,Ambiguous,high_consensus,ambiguous_majority,ambiguous_weak_sufficiency,False,True,True,False,False,True,False,False,60.4,1.9595917942265426,56.0,2.0,59.4,2.154065922853802,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000145,220949,25,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000026,Ambiguous,Ambiguous,Supported,ambiguous_majority,ambiguous_majority,high_consensus,True,True,False,False,True,False,False,False,60.6,2.3323807579381204,58.6,1.9595917942265424,58.2,1.8330302779823358,silver_structured_evidence_sensitive,representation_sensitive,SA-000382,67568,26,regression,both,Refuted,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000027,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,86.2,2.7129319932501077,88.4,0.8,87.4,1.7435595774162693,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000924,196159,27,regression,both,Supported,correct_to_wrong,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000028,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,67.6,1.9595917942265422,66.2,2.7129319932501077,66.2,2.2271057451320084,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000927,61401,28,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000029,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,68.6,1.9595917942265424,63.4,2.0591260281974,64.4,1.2,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000913,107119,29,regression,gpt54_only,Supported,correct_to_wrong,wrong_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000030,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,60.0,3.1622776601683795,57.8,1.5999999999999999,58.6,1.9595917942265426,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000051,55633,30,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000031,Supported,Supported,Ambiguous,high_consensus,high_consensus,ambiguous_weak_sufficiency,False,False,True,False,False,True,False,False,58.8,1.5999999999999999,55.6,1.2000000000000002,55.6,1.2000000000000002,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000595,25505,31,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,False,residual_ambiguity,True,True,True
CF-000032,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,91.0,0.8944271909999159,90.4,0.8,91.2,0.9797958971132712,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000997,119915,32,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000033,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,70.8,1.5999999999999999,69.0,2.0,68.6,2.33238075793812,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000087,187390,33,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000034,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,63.0,1.2649110640673518,61.8,2.2271057451320084,60.4,0.8,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000791,207543,34,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000035,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,63.8,2.7129319932501077,59.6,1.4966629547095764,63.0,4.0,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000854,41480,35,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,Supported,Supported,ambiguous_majority,high_consensus,silver_structured_evidence_sensitive,True,False,False,False,False,False,False,representation_sensitive,True,False,False
CF-000036,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_weak_sufficiency,ambiguous_majority,True,True,True,False,False,True,False,False,56.4,1.2,55.8,1.16619037896906,56.2,1.4696938456699067,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000563,179332,36,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,True,residual_ambiguity,True,True,True
CF-000037,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,88.4,0.8,88.8,0.9797958971132712,88.8,0.9797958971132712,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000608,132858,37,regression,gpt54_only,Refuted,correct_to_wrong,wrong_to_correct,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
CF-000038,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,71.0,2.3664319132398464,67.2,2.7129319932501077,70.0,1.2649110640673518,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-001052,96466,38,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000039,Ambiguous,Refuted,Ambiguous,ambiguous_majority,high_consensus,ambiguous_majority,True,False,True,True,False,True,False,False,58.4,0.7999999999999999,66.4,4.2708313008125245,62.8,4.308131845707604,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000641,70784,39,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Ambiguous,Unresolved,Refuted,ambiguous_majority,high_consensus,silver_structured_evidence_sensitive,False,True,False,False,False,True,True,representation_sensitive,True,True,False
CF-000040,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,86.6,1.2,88.8,1.5999999999999999,87.8,1.6,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000856,75025,40,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
CF-000041,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,72.8,2.315167380558045,66.4,5.238320341483519,66.2,4.48998886412873,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000949,101212,41,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,False,evidence_utilization_failure,False,False,False
CF-000042,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,90.0,0.0,89.6,0.8,88.2,1.8330302779823358,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000142,35174,42,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000043,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,59.6,1.4966629547095764,57.4,1.2000000000000002,59.0,2.0,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-001028,140359,43,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Supported,ambiguous_majority,high_consensus,silver_structured_evidence_sensitive,False,True,False,False,False,True,True,representation_sensitive,True,True,False
CF-000044,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,86.0,4.1952353926806065,89.6,0.8,89.6,1.4966629547095764,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000327,120781,44,regression,mini_only,Refuted,wrong_to_wrong,correct_to_wrong,Supported,Supported,Supported,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,True,evidence_utilization_failure,False,False,False
CF-000045,Refuted,Unresolved,Refuted,high_consensus,unresolved,high_consensus,False,True,False,False,True,False,False,False,77.8,1.5999999999999999,65.2,7.4404300950953095,66.0,7.042726744663604,silver_structured_evidence_sensitive,representation_sensitive,SA-000157,70574,45,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000046,Ambiguous,Ambiguous,Ambiguous,ambiguous_weak_sufficiency,ambiguous_weak_sufficiency,ambiguous_weak_sufficiency,True,True,True,False,False,True,False,False,66.8,8.37615663654877,63.0,5.440588203494177,60.8,0.9797958971132712,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000995,38288,46,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,False,evidence_utilization_failure,False,False,False
CF-000047,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,68.2,1.8330302779823358,63.8,2.039607805437114,66.6,2.0591260281974,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000988,81191,47,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,True,residual_ambiguity,True,True,True
CF-000048,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,64.0,3.687817782917155,60.6,3.7735924528226414,63.2,3.709447398198282,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000723,54383,48,regression,gpt54_only,Refuted,correct_to_wrong,correct_to_correct,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
CF-000049,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,81.8,1.8330302779823358,81.8,3.1240998703626617,80.6,2.33238075793812,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000176,17124,49,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Supported,Supported,Supported,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,False,evidence_utilization_failure,False,False,False
CF-000050,Ambiguous,Supported,Supported,ambiguous_majority,high_consensus,high_consensus,True,False,False,True,False,False,False,False,58.6,1.9595917942265426,69.2,4.48998886412873,70.8,2.0396078054371136,silver_structured_evidence_sensitive,representation_sensitive,SA-000483,9680,50,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Supported,Supported,ambiguous_majority,high_consensus,silver_structured_evidence_sensitive,True,False,False,False,False,True,True,representation_sensitive,True,False,False
CF-000051,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,60.8,0.9797958971132712,57.8,2.0396078054371136,58.6,1.9595917942265426,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000838,64142,51,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,False,residual_ambiguity,True,True,True
CF-000052,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,84.2,1.16619037896906,83.4,2.0591260281974,84.2,1.16619037896906,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000067,217194,52,regression,gpt54_only,Refuted,correct_to_wrong,correct_to_correct,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
CF-000053,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,87.8,2.039607805437114,89.6,0.8,88.8,0.9797958971132712,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000623,180726,53,regression,both,Supported,correct_to_wrong,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000054,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,82.8,1.9390719429665317,84.2,2.227105745132009,81.2,2.9933259094191533,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000776,201801,54,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
