claude_item_id,claude_consensus,claude_rule,n_supported,n_refuted,n_ambiguous,mean_confidence,sd_confidence,modal_sufficiency,issue_flags,source_item_id,order,claim_id,cohort,regression_type,gold_label,gpt54_transition,gpt54mini_transition,consensus_A,rule_A,consensus_B,rule_B,cursor_consensus_C,cursor_rule_C,sd_confidence_A,sd_confidence_C,nli_disagrees,nli2_disagrees,weakly_warranted,cosine_sim,evidence_set_size,n_evidence_pages,claim_len_words,evidence_len_words,resolver_outcome_A,disagreement_type_A,resolver_outcome_B,disagreement_type_B,resolver_outcome_C,disagreement_type_C,resolved_by_titles,resolved_only_by_structure,still_ambiguous_after_C,reversed_after_titles,reversed_after_structure,silver_taxonomy,item_id,claude_ambiguous,claude_decisive,claude_high_decisive,cross_family_taxonomy,claude_agrees_fever,cross_family_taxonomy_fever
CR-000011,Ambiguous,ambiguous_majority,0,0,5,64.0,4.560701700396552,probably_insufficient,entity_or_attribute_confusion;possible_missing_surrounding_context,SA-000941,11,214780,rescue,,Refuted,wrong_to_correct,wrong_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,24.8708664907357,14.724129855444769,False,False,False,0.46653732657432556,1,1,11,24,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,representation_sensitive,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000011,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000012,Unresolved,unresolved,3,0,2,66.0,4.381780460041329,probably_sufficient,numerical_or_temporal_reasoning;partial_warrant,SA-000964,12,150412,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,7.959899496852959,6.823488843692792,True,True,True,0.6215201616287231,1,1,9,29,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000012,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000013,Ambiguous,ambiguous_majority,0,0,5,60.4,1.4966629547095764,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant,SA-000078,13,116588,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,4.0,5.366563145999495,True,True,True,0.952613353729248,1,1,15,16,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000013,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000014,Supported,high_consensus,5,0,0,71.4,1.4966629547095764,probably_sufficient,partial_warrant,SA-000598,14,42174,resistant,,Refuted,wrong_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,8.662563131083086,8.44748483277715,True,True,True,0.5589287281036377,1,1,13,29,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000014,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000015,Supported,high_consensus,5,0,0,72.0,1.2649110640673518,probably_sufficient,possible_coreference_or_entity_resolution,SA-000177,15,33840,rescue,,Supported,wrong_to_correct,wrong_to_correct,Supported,high_consensus,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,11.634431657799189,5.1536394906900505,True,True,True,0.5237947702407837,1,1,7,14,,,Ambiguous,representation_sensitive,Ambiguous,representation_sensitive,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000015,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000016,Ambiguous,ambiguous_majority,0,0,5,67.4,1.7435595774162693,probably_insufficient,possible_missing_surrounding_context,SA-001005,16,147486,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,1.2,18.650469162999627,True,True,True,0.6824778318405151,1,1,8,29,Unresolved,unresolved,Ambiguous,partial_warrant,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000016,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000017,Refuted,high_consensus,0,5,0,65.8,4.578209256903839,probably_sufficient,entity_or_attribute_confusion,SA-000919,17,71124,regression,gpt54_only,Refuted,correct_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,22.07804339156892,15.06784656146989,True,True,True,0.5624858736991882,1,1,8,25,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000017,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000018,Refuted,high_consensus,0,5,0,88.8,0.9797958971132712,clearly_sufficient,numerical_or_temporal_reasoning,SA-000781,18,106115,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,high_consensus,Unresolved,unresolved,Ambiguous,ambiguous_majority,11.356055653262711,10.518555033843766,False,False,False,0.7348452210426331,1,1,11,72,,,Ambiguous,semantic_conflict,Ambiguous,semantic_conflict,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000018,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000019,Ambiguous,ambiguous_majority,0,0,5,57.4,1.2000000000000002,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant,SA-000956,19,106084,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Unresolved,unresolved,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,21.74948275247023,17.99555500672319,True,True,True,0.6996328830718994,1,1,15,47,Ambiguous,semantic_conflict,Ambiguous,partial_warrant,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000019,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000020,Supported,high_consensus,5,0,0,80.4,4.079215610874228,probably_sufficient,partial_warrant,SA-000757,20,155647,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Refuted,high_consensus,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,10.983624174196784,8.634813257969162,False,False,False,0.882082462310791,1,1,8,22,,,Ambiguous,semantic_conflict,Refuted,judge_error,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000020,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000021,Supported,high_consensus,5,0,0,78.8,2.4000000000000004,probably_sufficient,partial_warrant,SA-000202,21,54742,regression,gpt54_only,Supported,correct_to_wrong,wrong_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,12.4,0.8,True,False,True,0.5530984401702881,1,1,16,49,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000021,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000022,Refuted,high_consensus,0,5,0,74.4,2.33238075793812,probably_sufficient,entity_or_attribute_confusion;negation_or_scope,SA-000744,22,44732,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,10.781465577554844,15.12613632095123,False,True,False,0.5334188938140869,1,1,6,20,Ambiguous,representation_sensitive,Ambiguous,semantic_conflict,Refuted,judge_error,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000022,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000023,Supported,high_consensus,5,0,0,77.8,2.4000000000000004,probably_sufficient,possible_coreference_or_entity_resolution,SA-000058,23,70386,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Ambiguous,ambiguous_majority,Unresolved,unresolved,1.2649110640673518,12.172099243762352,True,True,True,0.6201391816139221,1,1,16,15,,,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000023,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000024,Supported,high_consensus,5,0,0,75.4,3.1999999999999997,probably_sufficient,partial_warrant,SA-000117,24,77686,regression,both,Refuted,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,7.110555533852471,4.454211490264017,True,True,True,0.6637041568756104,1,1,5,20,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000024,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000025,Ambiguous,ambiguous_weak_sufficiency,3,0,2,60.8,4.874423042781577,partial_or_ambiguous,numerical_or_temporal_reasoning;partial_warrant,SA-000052,25,7138,regression,both,Refuted,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,3.0983866769659336,11.338430226446693,True,True,True,0.35108664631843567,1,1,11,53,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000025,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000026,Supported,high_consensus,5,0,0,64.8,3.059411708155671,probably_sufficient,partial_warrant,SA-000988,26,81191,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,12.383860464330175,9.54148835350125,False,True,False,0.6530267000198364,1,1,5,30,Ambiguous,semantic_conflict,Ambiguous,partial_warrant,Ambiguous,semantic_conflict,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000026,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000027,Ambiguous,ambiguous_majority,0,0,5,69.2,2.039607805437114,probably_insufficient,possible_missing_surrounding_context,SA-000087,27,187390,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,22.817537115122654,7.222188034107115,True,True,True,0.538965106010437,1,1,12,19,Unresolved,unresolved,Unresolved,unresolved,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000027,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000028,Ambiguous,ambiguous_majority,0,0,5,59.2,0.9797958971132712,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant;possible_missing_surrounding_context,SA-000682,28,83803,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,10.384603988597735,14.527215837867903,True,True,True,0.5312234163284302,1,1,7,29,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000028,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000029,Ambiguous,ambiguous_majority,0,0,5,62.8,1.5999999999999999,partial_or_ambiguous,partial_warrant,SA-000504,29,98916,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,6.870225614927067,3.6660605559646715,True,True,True,0.491739422082901,1,1,8,16,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000029,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000030,Supported,high_consensus,5,0,0,70.6,1.7435595774162693,probably_sufficient,partial_warrant,SA-000371,30,73444,resistant,,Refuted,correct_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,2.039607805437114,8.772684879784524,True,True,True,0.5791020393371582,1,1,7,31,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000030,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000031,Supported,high_consensus,5,0,0,70.8,2.039607805437114,probably_sufficient,partial_warrant,SA-000497,31,71911,resistant,,Supported,wrong_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Supported,high_consensus,Unresolved,unresolved,7.756287771866127,10.552724766618335,True,True,True,0.5079809427261353,1,1,14,53,Ambiguous,partial_warrant,,,Ambiguous,partial_warrant,True,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000031,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000032,Refuted,high_consensus,0,5,0,63.6,1.9595917942265426,probably_sufficient,entity_or_attribute_confusion;multi_sentence_integration,SA-000793,32,20708,resistant,,Refuted,wrong_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,8.818163074019441,13.145341380123988,False,False,False,0.8456117510795593,2,2,13,22,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Refuted,judge_error,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000032,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000033,Ambiguous,ambiguous_majority,0,0,5,70.8,2.039607805437114,probably_insufficient,possible_missing_surrounding_context,SA-000720,33,189776,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,16.942254867637896,16.85704600456438,True,True,True,0.6966217756271362,1,1,14,38,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000033,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000034,Ambiguous,ambiguous_majority,0,0,5,65.2,1.5999999999999999,partial_or_ambiguous,numerical_or_temporal_reasoning;partial_warrant,SA-000791,34,207543,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,9.064215354899728,7.547184905645283,True,True,True,0.48564839363098145,1,1,10,19,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000034,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000035,Ambiguous,ambiguous_majority,0,0,5,61.2,2.4000000000000004,partial_or_ambiguous,numerical_or_temporal_reasoning,SA-000526,35,223352,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,9.93176721434811,15.370100845472681,False,True,False,0.631917417049408,1,1,8,17,Unresolved,unresolved,Ambiguous,partial_warrant,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000035,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000036,Ambiguous,ambiguous_weak_sufficiency,3,0,2,58.8,1.5999999999999999,partial_or_ambiguous,partial_warrant,SA-000313,36,89219,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,5.851495535331117,5.851495535331117,True,True,True,0.35803717374801636,1,1,7,19,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000036,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000037,Ambiguous,ambiguous_majority,2,0,3,58.0,1.2649110640673518,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant,SA-000340,37,142863,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,3.249615361854384,6.374950980203691,False,False,False,0.5648998022079468,1,1,9,31,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000037,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000038,Ambiguous,ambiguous_majority,0,0,5,60.0,1.2649110640673518,partial_or_ambiguous,numerical_or_temporal_reasoning;possible_coreference_or_entity_resolution,SA-000511,38,99911,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,6.9397406291589885,10.998181667894016,False,True,False,0.24118740856647491,1,1,6,83,Ambiguous,representation_sensitive,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000038,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000039,Refuted,high_consensus,0,5,0,67.2,2.9933259094191533,probably_sufficient,numerical_or_temporal_reasoning;partial_warrant,SA-000701,39,223272,resistant,,Refuted,correct_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,8.908422980528035,11.128342194594845,False,False,False,0.39803779125213623,1,1,14,67,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000039,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000040,Supported,high_consensus,4,0,1,59.6,3.1999999999999997,partial_or_ambiguous,negation_or_scope;partial_warrant,SA-000702,40,107308,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,6.8,6.800000000000001,False,False,False,0.4380466341972351,1,1,9,39,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000040,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000041,Ambiguous,ambiguous_majority,0,0,5,58.4,1.4966629547095767,partial_or_ambiguous,entity_or_attribute_confusion;multi_sentence_integration;partial_warrant,SA-000705,41,107856,resistant,,Supported,wrong_to_wrong,wrong_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,7.756287771866127,7.547184905645283,True,True,True,0.474496990442276,2,2,8,55,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000041,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000042,Supported,high_consensus,5,0,0,60.4,1.4966629547095767,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant,SA-000240,42,162662,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,9.715966241192895,4.019950248448356,True,True,False,0.745444655418396,1,1,7,49,Ambiguous,semantic_conflict,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000042,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000043,Ambiguous,ambiguous_majority,0,0,5,78.8,1.5999999999999999,clearly_insufficient,possible_missing_surrounding_context,SA-001023,43,115386,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,0.8,20.861447696648476,True,True,True,0.22956794500350952,1,1,6,29,Unresolved,unresolved,Ambiguous,partial_warrant,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000043,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000044,Ambiguous,ambiguous_majority,0,0,5,58.4,0.7999999999999999,partial_or_ambiguous,partial_warrant;possible_missing_title_context,SA-000182,44,60431,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,8.68101376568428,4.664761515876241,False,False,False,0.35146865248680115,1,1,16,35,Unresolved,unresolved,Unresolved,unresolved,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000044,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
